Id,cooling,model,torque,bore_stroke,transmission,dry_weight,frame,fuel_control,lubrication,engine,rear_suspension,total_length,starter,displacement,rear_brakes,compression,ignition,total_width,valves_per_cylinder,front_suspension,fuel_capacity,total_height,rear_tire,make,gearbox,emission,fuel_consumption,type,top_speed,total_weight,ground_clearance,wheelbase,clutch,fuel_system,year,rear_wheel_travel,front_brakes,front_tire,seat_height,power,front_wheel_travel
11,Air,KLX 140R,,58.0 x 54.4 mm (2.3 x 2.1 inches),Chain   (final drive),,"High-tensile steel, box-section perimeter",Single Overhead Cams (SOHC),,"Single cylinder, four-stroke","Uni-Trak  linkage system and single shock with piggyback reservoir, fully adjustable preload and 22-way rebound damping",1821 mm (71.7 inches),Electric,144.0 ccm (8.79 cubic inches),Single disc. Petal disc with single-piston caliper,9.5:1,Digital DC-CDI,790 mm (31.1 inches),,33mm telescopic fork,5.68 litres (1.50 US gallons),1049 mm (41.3 inches),90/100-14 ,Kawasaki,5-speed,,,Enduro / offroad,,93.0 kg (205.0 pounds),236 mm (9.3 inches),1260 mm (49.6 inches),"Multiplate, wet manual clutch",Carburettor. Keihin 20mm,2022,180 mm (7.1 inches),Single disc. Petal disc with a dual-piston caliper,70/100-17 ,"780 mm (30.7 inches) If adjustable, lowest setting.",,180 mm (7.1 inches)
12,Air,KLX 230 SE,,67.0 x 66.0 mm (2.6 x 2.6 inches),Chain   (final drive),,"High-tensile steel, box-section perimeter",Single Overhead Cams (SOHC),"Forced lubrication, wet sump","Single cylinder, four-stroke",Uni-Trak® linkage system and single shock with adjustable spring preload,2106 mm (82.9 inches),Electric,233.0 ccm (14.22 cubic inches),Single disc. Single-piston. Petal disc. Optional ABS.,9.4:1,TCBI Electronic Advance,836 mm (32.9 inches),4,37mm telescopic fork,7.57 litres (2.00 US gallons),1158 mm (45.6 inches),100/100-18 ,Kawasaki,6-speed,,,Enduro / offroad,,132.0 kg (291.1 pounds),211 mm (8.3 inches),1379 mm (54.3 inches),"Wet multi-disc, manual",Injection. DFI® with 32mm Keihin throttle body,2022,224 mm (8.8 inches),Single disc. Dual-piston. Petal disc. Optional ABS.,80/100-21 ,"884 mm (34.8 inches) If adjustable, lowest setting.",,221 mm (8.7 inches)
13,Air,KLX 230S,,67.0 x 66.0 mm (2.6 x 2.6 inches),Chain   (final drive),,"High-tensile steel, box-section perimeter",Single Overhead Cams (SOHC),"Forced lubrication, wet sump","Single cylinder, four-stroke",Uni-Trak® linkage system and single shock with adjustable spring preload,2080 mm (81.9 inches),Electric,233.0 ccm (14.22 cubic inches),Single disc. Single-piston. Petal disc. Optional ABS.,11.0:1,TCBI Electronic Advance,836 mm (32.9 inches),4,37mm telescopic fork,7.57 litres (2.00 US gallons),1110 mm (43.7 inches),100/100-18 ,Kawasaki,6-speed,,,Enduro / offroad,,133.0 kg (293.3 pounds),211 mm (8.3 inches),1379 mm (54.3 inches),"Wet multi-disc, manual",Injection. DFI® with 32mm Keihin throttle body,2022,168 mm (6.6 inches),Single disc. Dual-piston. Petal disc. Optional ABS.,80/100-21 ,"831 mm (32.7 inches) If adjustable, lowest setting.",,157 mm (6.2 inches)
14,Air,KLX230,,67.0 x 66.0 mm (2.6 x 2.6 inches),Chain   (final drive),,"High-tensile steel, box-section perimeter",Single Overhead Cams (SOHC),"Forced lubrication, wet sump","Single cylinder, four-stroke",Uni-Trak® linkage system and single shock with adjustable spring preload,2106 mm (82.9 inches),Electric,233.0 ccm (14.22 cubic inches),Single disc. Single-piston. Petal disc.,11.0:1,TCBI Electronic Advance,836 mm (32.9 inches),4,37mm telescopic fork,7.57 litres (2.00 US gallons),1166 mm (45.9 inches),100/100-18 ,Kawasaki,6-speed,,,Enduro / offroad,,133.0 kg (293.3 pounds),264 mm (10.4 inches),1379 mm (54.3 inches),"Wet multi-disc, manual",Injection. DFI® with 32mm Keihin throttle body,2022,224 mm (8.8 inches),Single disc. Dual-piston. Petal disc.,80/100-21 ,"884 mm (34.8 inches) If adjustable, lowest setting.",,221 mm (8.7 inches)
15,Liquid,KLX300,,78.0 x 61.2 mm (3.1 x 2.4 inches),Chain   (final drive),137.0 kg (302.1 pounds),Semi Double Cradle,Double Overhead Cams/Twin Cam (DOHC),"Forced, semi-dry sump","Single cylinder, four-stroke",Uni-Trak® gas charged shock with piggyback reservoir with adjustable rebound damping and spring preload,2200 mm (86.6 inches),Electric,292.0 ccm (17.82 cubic inches),Single disc,11.1:1,CDI,820 mm (32.3 inches),4,43mm inverted cartridge fork with adjustable compression damping,7.57 litres (2.00 US gallons),1194 mm (47.0 inches),4.60-18 ,Kawasaki,6-speed,,,Enduro / offroad,,,274 mm (10.8 inches),1440 mm (56.7 inches),wet multi-disc manual clutch,Injection. DFI® with 34mm Keihin throttle body,2022,231 mm (9.1 inches),Single disc,3.00-21 ,"894 mm (35.2 inches) If adjustable, lowest setting.",,254 mm (10.0 inches)
16,Liquid,KLX300 SM,,78.0 x 61.2 mm (3.1 x 2.4 inches),Chain   (final drive),138.0 kg (304.3 pounds),Semi Double Cradle,Double Overhead Cams/Twin Cam (DOHC),"Forced, semi-dry sump","Single cylinder, four-stroke",Uni-Trak® gas charged shock with piggyback reservoir with adjustable rebound damping and spring preload,2195 mm (86.4 inches),Electric,292.0 ccm (17.82 cubic inches),Single disc. Petal disc with single-piston caliper,11.1:1,CDI,790 mm (31.1 inches),4,43mm inverted cartridge fork with adjustable compression damping,7.57 litres (2.00 US gallons),1146 mm (45.1 inches),130/70-17 ,Kawasaki,6-speed,,,Super motard,,,236 mm (9.3 inches),1435 mm (56.5 inches),,Injection. DFI® with 34mm Keihin throttle body,2022,206 mm (8.1 inches),Single disc. Petal disc with a dual-piston caliper,110/70-17 ,"861 mm (33.9 inches) If adjustable, lowest setting.",,231 mm (9.1 inches)
17,Liquid,KX 450SR,,96.0 x 62.0 mm (3.8 x 2.4 inches),Chain   (final drive),105.6 kg (232.7 pounds),Aluminum perimeter,Double Overhead Cams/Twin Cam (DOHC),,"Single cylinder, four-stroke","Uni-Trak® gas charged shock with piggyback reservoir with dual-range (4 turns stepless high speed/19-way low-speed) compression damping, 38-way rebound damping and adjustable preload",2185 mm (86.0 inches),Electric,449.0 ccm (27.40 cubic inches),Single disc. Petal disc. Single-piston caliper. ,12.5:1,Digital CDI with 3 Coupler Options,820 mm (32.3 inches),,49mm inverted telescopic coil-spring fork with 16-way compression damping and 16-way rebound damping,6.20 litres (1.64 US gallons),1265 mm (49.8 inches),120/80-19 ,Kawasaki,5-speed,,,Cross / motocross,,110.2 kg (242.9 pounds),340 mm (13.4 inches),1485 mm (58.5 inches),"Wet multi-disc, manual",Injection. DFI® with 44mm Keihin throttle body,2022,307 mm (12.1 inches),Single disc. Semi-floating petal discs. Dual piston.,80/100-21 ,"955 mm (37.6 inches) If adjustable, lowest setting.",,315 mm (12.4 inches)
18,Liquid,KX100 ,,52.5 x 45.8 mm (2.1 x 1.8 inches),Chain   (final drive),,High-tensile steel perimeter design with subframe member,,,"Single cylinder, two-stroke",Uni-Trak® gas charged shock with piggyback reservoir with 24-way compression and 21-way rebound damping plus adjustable spring preload,1920 mm (75.6 inches),,99.0 ccm (6.04 cubic inches),Single disc. Petal disc with single-piston caliper,10.2:1,CDI with digital advanceI,765 mm (30.1 inches),,36mm inverted telescopic cartridge fork with 20-way compression damping / 10.8 in.,5.00 litres (1.32 US gallons),1151 mm (45.3 inches),90/90-16 ,Kawasaki,6-speed,,,Cross / motocross,,77.0 kg (169.7 pounds),330 mm (13.0 inches),1311 mm (51.6 inches),Wet multi-plate,Carburettor. Keihin 28mm,2022,274 mm (10.8 inches),Single disc. Petal disc with dual-piston caliper,70/100-19 ,"871 mm (34.3 inches) If adjustable, lowest setting.",,274 mm (10.8 inches)
19,Liquid,KX112,8.0 Nm (0.8 kgf-m or 5.9 ft.lbs),53.0 x 50.6 mm (2.1 x 2.0 inches),Chain   (final drive),,High-tensile steel perimeter design withsubframe member,Single Overhead Cams (SOHC),,"Single cylinder, two-stroke",	Uni-Trak® gas charged shock with piggyback reservoir with 24-way compression and 21-way rebound damping plus adjustable spring preload,1920 mm (75.6 inches),,112.0 ccm (6.83 cubic inches),Single disc,9.5:1,CDI with digital advance,765 mm (30.1 inches),,36mm inverted telescopic cartridge fork with 20-way compression damping,5.00 litres (1.32 US gallons),1151 mm (45.3 inches),90/100-16 ,Kawasaki,6-speed,,,Cross / motocross,,76.7 kg (169.0 pounds),330 mm (13.0 inches),1311 mm (51.6 inches),Wet multi-disc manual,Carburettor. Keihin 28mm,2022,274 mm (10.8 inches),Single disc,70/100-19 ,"871 mm (34.3 inches) If adjustable, lowest setting.",7.2 HP (5.3  kW)) @ 7500 RPM,274 mm (10.8 inches)
20,Liquid,KX250,,78.0 x 52.2 mm (3.1 x 2.1 inches),Chain   (final drive),102.7 kg (226.4 pounds),Aluminum perimeter,Double Overhead Cams/Twin Cam (DOHC),,"Single cylinder, four-stroke","Uni-Trak with adjustable dual-range (2 turns high speed / 19-way low-speed) compression damping, adjustable 22-way rebound damping and fully adjustable spring preload",2172 mm (85.5 inches),Electric,249.0 ccm (15.19 cubic inches),Single disc. Petal disc with single-piston caliper,14.1:1,Digital CDI,820 mm (32.3 inches),,48mm inverted telescopic coil spring fork with 23-way compression damping and 20-way rebound damping,6.40 litres (1.69 US gallons),1265 mm (49.8 inches),100/90-19 ,Kawasaki,5-speed,,,Cross / motocross,,107.3 kg (236.5 pounds),335 mm (13.2 inches),1486 mm (58.5 inches),"Wet multi-disc, hydraulic",Injection. DFI® with 44mm Keihin throttle body and dual injectors,2022,315 mm (12.4 inches),Single disc. Petal disc with dual-piston caliper,80/100-21 ,"950 mm (37.4 inches) If adjustable, lowest setting.",,315 mm (12.4 inches)
21,Liquid,KX250X,,78.0 x 52.2 mm (3.1 x 2.1 inches),Chain   (final drive),104.4 kg (230.2 pounds),Aluminum perimeter,Double Overhead Cams/Twin Cam (DOHC),,"Single cylinder, four-stroke","Uni-Trak® with dual-range (2.25 turns high speed/21-way low-speed) compression damping, 38-way rebound damping and adjustable preload",2169 mm (85.4 inches),Electric,249.0 ccm (15.19 cubic inches),Single disc. Petal disc with single-piston caliper,14.1:1,Digital CDI,820 mm (32.3 inches),,48mm inverted telescopic coil spring fork with 23-way compression damping and 20-way rebound damping,6.21 litres (1.64 US gallons),1260 mm (49.6 inches),100/90-19 ,Kawasaki,5-speed,,,Cross / motocross,,,330 mm (13.0 inches),1486 mm (58.5 inches),"Wet multi-disc, manual",Injection. DFI® with 44mm Keihin throttle body and dual injectors,2022,315 mm (12.4 inches),Single disc. Petal disc with dual-piston caliper,80/100-21 ,"945 mm (37.2 inches) If adjustable, lowest setting.",,315 mm (12.4 inches)
22,Liquid,KX450,,96.0 x 62.0 mm (3.8 x 2.4 inches),Chain   (final drive),105.6 kg (232.7 pounds),Aluminum perimeter,Double Overhead Cams/Twin Cam (DOHC),,"Single cylinder, four-stroke","Uni-Trak® gas charged shock with piggyback reservoir with dual-range (4 turns stepless high speed/19-way low-speed) compression damping, 38-way rebound damping and adjustable preload",2185 mm (86.0 inches),Electric,449.0 ccm (27.40 cubic inches),Single disc. Single-piston caliper. ,12.5:1,Digital CDI with 3 Coupler Options,820 mm (32.3 inches),,49mm inverted telescopic coil-spring fork with 16-way compression damping and 16-way rebound damping,6.20 litres (1.64 US gallons),1265 mm (49.8 inches),120/80-19 ,Kawasaki,5-speed,,,Cross / motocross,,110.0 kg (242.5 pounds),340 mm (13.4 inches),1485 mm (58.5 inches),"Wet multi-disc, manual",Injection. DFI® with 44mm Keihin throttle body,2022,307 mm (12.1 inches),Single disc. Semi-floating petal discs,80/100-21 ,"955 mm (37.6 inches) If adjustable, lowest setting.",,305 mm (12.0 inches)
23,Liquid,KX450 SR,,96.0 x 62.0 mm (3.8 x 2.4 inches),Chain   (final drive),105.6 kg (232.7 pounds),Aluminum perimeter,Double Overhead Cams/Twin Cam (DOHC),,"Single cylinder, four-stroke","KYB Uni-Trak® gas charged shock with piggyback reservoir with dual-range (4 turns stepless high speed/19-way low-speed) compression damping, 38-way rebound damping and adjustable preload",2185 mm (86.0 inches),Electric,449.0 ccm (27.40 cubic inches),Single disc. Single-piston caliper. ,12.5:1,Digital CDI with 3 Coupler Options,820 mm (32.3 inches),,KYB 49mm inverted telescopic coil-spring fork with 16-way compression damping and 16-way rebound damping,6.20 litres (1.64 US gallons),1265 mm (49.8 inches),120/80-19 ,Kawasaki,5-speed,,,Cross / motocross,,110.0 kg (242.5 pounds),340 mm (13.4 inches),1485 mm (58.5 inches),"Wet multi-disc, manual",Injection. DFI® with 44mm Keihin throttle body,2022,307 mm (12.1 inches),Single disc. Semi-floating petal discs,80/100-21 ,"955 mm (37.6 inches) If adjustable, lowest setting.",,305 mm (12.0 inches)
24,Liquid,KX450X,,96.0 x 62.0 mm (3.8 x 2.4 inches),Chain   (final drive),107.0 kg (235.8 pounds),Aluminum perimeter,Double Overhead Cams/Twin Cam (DOHC),,"Single cylinder, four-stroke","Uni-Trak® gas charged shock with piggyback reservoir with dual-range (4 turns stepless high speed/19-way low-speed) compression damping, 38-way rebound damping and adjustable preload",2185 mm (86.0 inches),Electric,449.0 ccm (27.40 cubic inches),Single disc. Single-piston caliper. ,12.5:1,Digital CDI with 3 Coupler Options,820 mm (32.3 inches),,49mm inverted telescopic coil-spring fork with 16-way compression damping and 16-way rebound damping,6.20 litres (1.64 US gallons),1265 mm (49.8 inches),120/80-18 ,Kawasaki,5-speed,,,Cross / motocross,,,335 mm (13.2 inches),1485 mm (58.5 inches),Wet multi-disc manual clutch and hydraulic clutch actuation,Injection. DFI® with 44mm Keihin throttle body,2022,307 mm (12.1 inches),Single disc. Semi-floating petal discs,80/100-21 ,"950 mm (37.4 inches) If adjustable, lowest setting.",,305 mm (12.0 inches)
25,Liquid,KX65,,44.5 x 41.6 mm (1.8 x 1.6 inches),Chain   (final drive),,High-tensile steel semi-double cradle,,,"Single cylinder, two-stroke",Wheel TravelUni-Trak® single shock system with 4-way rebound damping and fully adjustable spring preload,1590 mm (62.6 inches),Kick,64.7 ccm (3.95 cubic inches),Single disc,8.4:1,CDI with digital advance,759 mm (29.9 inches),,33mm leading axle telescopic fork with 4-way rebound damping,3.79 litres (1.00 US gallons),955 mm (37.6 inches),80/100-12 ,Kawasaki,6-speed,,,Cross / motocross,,60.0 kg (132.2 pounds),305 mm (12.0 inches),1120 mm (44.1 inches),,Carburettor. Mikuni 24mm,2022,240 mm (9.4 inches),Single disc,60/100-14 ,"759 mm (29.9 inches) If adjustable, lowest setting.",,210 mm (8.3 inches)
26,Liquid,KX85 ,,48.5 x 45.8 mm (1.9 x 1.8 inches),Chain   (final drive),,High-tensile steel perimeter design with subframe member,,Petrol mix,"Single cylinder, two-stroke","Uni-Trak® single shock system with 24-way compression and 21-way rebound damping, plus adjustable spring preload",1830 mm (72.0 inches),Kick,84.0 ccm (5.13 cubic inches),Single disc. Petal disc with single-piston caliper,10.9:1,CDI with digital advance,765 mm (30.1 inches),,36mm inverted telescopic cartridge fork with 20-way compression damping,5.00 litres (1.32 US gallons),1100 mm (43.3 inches),90/100-14 ,Kawasaki,6-speed,,,Cross / motocross,,75.0 kg (165.3 pounds),290 mm (11.4 inches),1265 mm (49.8 inches),Wet multidisc,Carburettor. Keihin 28mm,2022,275 mm (10.8 inches),Single disc. Petal disc with dual-piston caliper,70/100-17 ,"830 mm (32.7 inches) If adjustable, lowest setting.",,275 mm (10.8 inches)
27,Liquid,Ninja 650 ,56.0 Nm (5.7 kgf-m or 41.3 ft.lbs) @ 4000 RPM,83.0 x 60.0 mm (3.3 x 2.4 inches),Chain   (final drive),,"Trellis, high-tensile steel",Double Overhead Cams/Twin Cam (DOHC),"Forced lubrication, semi-dry sump","Twin, four-stroke",Horizontal back-link with adjustable spring preload,2055 mm (80.9 inches),Electric,649.0 ccm (39.60 cubic inches),Single disc. Petal disc and single piston caliper. Optional ABS.                               ,10.8:1,TCBI with digital advance,739 mm (29.1 inches),4,41mm hydraulic telescopic fork,15.14 litres (4.00 US gallons),1146 mm (45.1 inches),160/60-17 ,Kawasaki,6-speed,,,Sport,,192.1 kg (423.4 pounds),130 mm (5.1 inches),1410 mm (55.5 inches),Assist  and  Slipper Clutch,Injection. DFI® with dual 36mm Keihin throttle bodies,2022,130 mm (5.1 inches),Double disc. Petal discs and two-piston calipers. Optional ABS.                                  ,120/70-17 ,"790 mm (31.1 inches) If adjustable, lowest setting.",52.3 HP (38.2  kW)) @ 8000 RPM,124 mm (4.9 inches)
28,Liquid,Ninja 1000SX,113.5 Nm (11.6 kgf-m or 83.7 ft.lbs) @ 7300 RPM,77.0 x 56.0 mm (3.0 x 2.2 inches),Chain   (final drive),,Aluminum backbone,Double Overhead Cams/Twin Cam (DOHC),,"In-line four, four-stroke","Horizontal monoshock with stepless rebound damping, remotely adjustable spring preload/5.4 in",2101 mm (82.7 inches),Electric,1043.0 ccm (63.64 cubic inches),Single disc. ABS. Single-piston caliper. ,11.8:1,TCBI with digital advance,826 mm (32.5 inches),4,"41mm inverted cartridge fork with stepless compression and rebound damping, adjustable spring preload/4.7 in",17.00 litres (4.49 US gallons),1191 mm (46.9 inches),190/50-ZR17 ,Kawasaki,6-speed,,,Sport,,233.1 kg (513.8 pounds),135 mm (5.3 inches),1440 mm (56.7 inches),Assist and slipper clutch,Injection. DFI  w/38mm Keihin throttle bodies (4) and oval sub-throttles,2022,145 mm (5.7 inches),Double disc. ABS. Four-piston calipers. Radially mounted. ,120/70-ZR17 ,"815 mm (32.1 inches) If adjustable, lowest setting.",200.0 HP (146.0  kW)) @ 13000 RPM,119 mm (4.7 inches)
